,Date,trade_spline,trade_signal
7428,2019-06-24,0.6268577786569647,0.0
7429,2019-06-25,0.6252577962078396,0.0
7430,2019-06-26,0.6298566714360339,0.0
7431,2019-06-27,0.6448189357994394,0.0
7432,2019-06-28,0.6773004074550568,0.0
7433,2019-07-01,0.7313708027084262,0.0
7434,2019-07-02,0.8110998378650869,0.0
7435,2019-07-03,0.9102275950817252,1.0
7436,2019-07-05,-1.0,0.0
7437,2019-07-08,-0.8316075663668312,-1.0
7438,2019-07-09,-0.8209953259442764,0.0
7439,2019-07-10,-0.6408625992639929,0.0
7440,2019-07-11,-0.414087771540972,0.0
7441,2019-07-12,-0.03376983717640547,0.0
7442,2019-07-15,-0.20318493963921824,0.0
7443,2019-07-16,-0.1050296614314219,0.0
7444,2019-07-17,0.13383701060059772,0.0
7445,2019-07-18,0.40077186642593476,0.0
7446,2019-07-19,0.6397028682464794,0.0
7447,2019-07-22,0.8269190315916779,0.0
7448,2019-07-23,0.9537649086689466,0.0
7449,2019-07-24,0.9867730318777446,0.0
7450,2019-07-25,0.9255356704404596,1.0
7451,2019-07-26,0.8233833878681958,0.0
7452,2019-07-29,0.7172845323087056,0.0
7453,2019-07-30,0.5113201881620142,0.0
7454,2019-07-31,0.24884712635214434,0.0
7455,2019-08-01,0.1903951772763941,0.0
7456,2019-08-02,-0.0661663858409689,0.0
7457,2019-08-05,-0.20050160837912778,0.0
7458,2019-08-06,-0.4166539803554796,0.0
7459,2019-08-07,-0.2794541812480489,-1.0
7460,2019-08-08,-0.2504540207175837,0.0
