"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GOOG","Alphabet Inc.","1103.6","766167474234","n/a","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1105.24","767306034090.6","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"AAPL","Apple Inc.","198.45","913083333750","n/a","1980","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/aapl",
"CSCO","Cisco Systems, Inc.","56.05","239935085098.4","n/a","1990","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/csco",
"FB","Facebook, Inc.","188.47","537985492073.92","n/a","2012","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fb",
"INTC","Intel Corporation","47.37","212075490000","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/intc",
"MSFT","Microsoft Corporation","135.16","1035706470067.2","n/a","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/msft",
