,index,High,Low,Open,Close,Volume,Adj Close
0,1997-05-15,2.5,1.9270833730697632,2.4375,1.9583333730697632,72156000.0,1.9583333730697632
1,1997-05-16,1.9791666269302368,1.7083333730697632,1.96875,1.7291666269302368,14700000.0,1.7291666269302368
2,1997-05-17,1.9791666269302368,1.7083333730697632,1.96875,1.7291666269302368,14700000.0,1.7291666269302368
3,1997-05-18,1.9791666269302368,1.7083333730697632,1.96875,1.7291666269302368,14700000.0,1.7291666269302368
4,1997-05-19,1.7708333730697632,1.625,1.7604166269302368,1.7083333730697632,6106800.0,1.7083333730697632
5,1997-05-20,1.75,1.6354166269302368,1.7291666269302368,1.6354166269302368,5467200.0,1.6354166269302368
6,1997-05-21,1.6458333730697632,1.375,1.6354166269302368,1.4270833730697632,18853200.0,1.4270833730697632
7,1997-05-22,1.4479166269302368,1.3125,1.4375,1.3958333730697632,11776800.0,1.3958333730697632
8,1997-05-23,1.5208333730697632,1.3333333730697632,1.40625,1.5,15937200.0,1.5
9,1997-05-24,1.5208333730697632,1.3333333730697632,1.40625,1.5,15937200.0,1.5
10,1997-05-25,1.5208333730697632,1.3333333730697632,1.40625,1.5,15937200.0,1.5
11,1997-05-26,1.5208333730697632,1.3333333730697632,1.40625,1.5,15937200.0,1.5
12,1997-05-27,1.6458333730697632,1.4583333730697632,1.5104166269302368,1.5833333730697632,8697600.0,1.5833333730697632
13,1997-05-28,1.6354166269302368,1.53125,1.625,1.53125,4574400.0,1.53125
14,1997-05-29,1.5416666269302368,1.4791666269302368,1.5416666269302368,1.5052083730697632,3472800.0,1.5052083730697632
15,1997-05-30,1.5104166269302368,1.4791666269302368,1.5,1.5,2594400.0,1.5
16,1997-05-31,1.5104166269302368,1.4791666269302368,1.5,1.5,2594400.0,1.5
17,1997-06-01,1.5104166269302368,1.4791666269302368,1.5,1.5,2594400.0,1.5
18,1997-06-02,1.53125,1.5,1.5104166269302368,1.5104166269302368,591600.0,1.5104166269302368
19,1997-06-03,1.53125,1.4791666269302368,1.53125,1.4791666269302368,1183200.0,1.4791666269302368
20,1997-06-04,1.4895833730697632,1.3958333730697632,1.4791666269302368,1.4166666269302368,3080400.0,1.4166666269302368
